Column,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,department,objectName,title,culture,period,artistDisplayBio,artistAlphaSort,artistNationality,artistGender,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,classification,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
0,73778.0,False,2008.188.6,2008,False,,Asian Art,Hanging scroll,Mynah on a Branch,China,,"Chinese, 1903–1982",Wang Xuetao,Chinese,,Dated 1941,1941.0,1941.0,Hanging scroll; ink and color on paper,"Image: 35 x 13 1/2 in. (88.9 x 34.3 cm)
Overall: 69 x 19 in. (175.3 x 48.3 cm)
Overall with knobs: 69 x 22 in. (175.3 x 55.9 cm)","[{'elementName': 'Overall with knobs', 'elementDescription': None, 'elementMeasurements': {'Height': 175.2604, 'Width': 55.8801}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 175.2604, 'Width': 48.2601}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 88.9002, 'Width': 34.2901}}]","Gift of Mary M. Anderberg, in memory of Edward Anderberg, State Department Economic Analyst in China, 2008",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/73778,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}]",https://www.wikidata.org/wiki/Q126145604,False,
1,73783.0,False,2008.188.5,2008,False,,Asian Art,Hanging scroll,Begonias and a Bird on a Rock,China,,"Chinese, 1864–1957",QI BAISHI,Chinese,,mid 19th–mid 20th century,1864.0,1957.0,Hanging scroll; ink and color on paper,"Image: 36 x 16 3/4 in. (91.4 x 42.5 cm)
Overall with mounting: 66 × 21 in. (167.6 × 53.3 cm)
Overall with knobs: 66 x 24 1/4 in. (167.6 x 61.6 cm)","[{'elementName': 'Overall with knobs', 'elementDescription': None, 'elementMeasurements': {'Height': 167.6403, 'Width': 61.5951}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 91.4402, 'Width': 42.5451}}, {'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Height': 167.64034, 'Width': 53.340107}}]","Gift of Mary M. Anderberg, in memory of Edward Anderberg, State Department Economic Analyst in China, 2008",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/73783,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",https://www.wikidata.org/wiki/Q126145577,False,
2,73780.0,False,2008.188.2,2008,False,,Asian Art,Hanging scroll,Peony,China,,"Chinese, 1864–1957",QI BAISHI,Chinese,,Dated 1947,1947.0,1947.0,Hanging scroll; ink and color on paper,"Image: 26 1/2 x 13 1/4 in. (67.3 x 33.7 cm)
Overall: 40 x 17 in. (101.6 x 43.2 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 101.6002, 'Width': 43.1801}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 67.3101, 'Width': 33.6551}}]","Gift of Mary M. Anderberg, in memory of Edward Anderberg, State Department Economic Analyst in China, 2008",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/73780,"[{'term': 'Peonies', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300380052', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q147105'}, {'term': 'Leaves', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300011892', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q33971'}]",https://www.wikidata.org/wiki/Q126145588,False,
3,73781.0,False,2008.188.3,2008,False,,Asian Art,Hanging scroll,Five Shrimp,China,,"Chinese, 1864–1957",QI BAISHI,Chinese,,Dated 1947,1947.0,1947.0,Hanging scroll; ink and color on paper,"Image: 27 x 13 1/2 in. (68.6 x 34.3 cm)
Overall: 40 1/2 x 17 3/4 in. (102.9 x 45.1 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 102.8702, 'Width': 45.0851}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 68.5801, 'Width': 34.2901}}]","Gift of Mary M. Anderberg, in memory of Edward Anderberg, State Department Economic Analyst in China, 2008",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/73781,"[{'term': 'Animals', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300249525', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q729'}]",https://www.wikidata.org/wiki/Q126145582,False,
4,73779.0,False,2008.188.1,2008,False,,Asian Art,Hanging scroll,Rooster and coxcomb,China,Republic period (1912–49),"Chinese, 1864–1957",QI BAISHI,Chinese,,dated 1947,1947.0,1947.0,Hanging scroll; ink and color on paper,"Image: 41 1/2 x 18 1/2 in. (105.4 x 47 cm)
Overall: 64 x 23 1/4 in. (162.6 x 59.1 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 162.5603, 'Width': 59.0551}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 105.4102, 'Width': 46.9901}}]","Gift of Mary M. Anderberg, in memory of Edward Anderberg, State Department Economic Analyst in China, 2008",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/73779,"[{'term': 'Roosters', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300380127', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2216236'}, {'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",https://www.wikidata.org/wiki/Q126145594,False,
5,53456.0,False,"2015.300.163.1, .2",2015,True,https://images.metmuseum.org/CRDImages/as/original/DP362631.jpg,Asian Art,Screens,Orchid Pavilion Gathering; Autumn Harvest Festival,Japan,Edo period (1615–1868),"Japanese, 1723–1776",Ike no Taiga,Japanese,,ca. 1763,1600.0,1870.0,Pair of six-panel folding screens; ink and color on paper,"Image (each): 63 1/4 in. × 11 ft. 8 3/16 in. (160.7 × 356 cm)
Overall with mounting:  69 9/16 in. × 12 ft. 2 7/16 in. (176.7 × 372 cm)","[{'elementName': 'Overall', 'elementDescription': 'each', 'elementMeasurements': {'Height': 176.7, 'Width': 372}}, {'elementName': 'Image', 'elementDescription': 'each', 'elementMeasurements': {'Height': 160.7, 'Width': 356}}]","Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",Paintings,2025-12-02T04:52:41.85Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/53456,"[{'term': 'Mountains', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300008795', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8502'}, {'term': 'Landscapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132294', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q191163'}, {'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}, {'term': 'Autumn', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300133093', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1314'}]",https://www.wikidata.org/wiki/Q126148580,False,
6,36131.0,True,1981.4.1a–o,1981,True,https://images.metmuseum.org/CRDImages/as/original/1981_4_1a.jpg,Asian Art,Album,Landscapes with poems,China,Qing dynasty (1644–1911),"Chinese, 1619–1689",Gong Xian,Chinese,,1688,1688.0,1688.0,Fifteen leaves from an album (1980.516.2a–c and 1981.4.1a–o) of eighteen leaves,10 3/4 x 16 1/8 in. (27.3 x 41 cm),"[{'elementName': 'Overall', 'elementDescription': 'painting and calligraphy', 'elementMeasurements': {'Height': 35.4013, 'Width': 52.2289}}, {'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Height': 40.9576, 'Width': 58.1026}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 27.3051, 'Width': 40.9576}}, {'elementName': 'Image', 'elementDescription': 'leaves n, o', 'elementMeasurements': {'Height': 35.5601, 'Width': 53.6576}}, {'elementName': 'Overall with mounting', 'elementDescription': 'leaves n, o', 'elementMeasurements': {'Height': 40.9576, 'Width': 58.1026}}]","Gift of Douglas Dillon, 1981",Paintings,2025-11-08T04:50:58.143Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/36131,"[{'term': 'Poetry', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300055931', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q482'}, {'term': 'Landscapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132294', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q191163'}]",https://www.wikidata.org/wiki/Q29383237,False,
7,53439.0,False,2015.300.110,2015,True,https://images.metmuseum.org/CRDImages/as/original/DP704960.jpg,Asian Art,Screen,Women on a Bridge Tossing Fans into a River,Japan,Edo period (1615–1868),,,,,early 17th century,1520.0,1780.0,"Six-panel folding screen; ink, color, gold, and gold leaf on paper","Image: 60 1/4 in. × 11 ft. 7 13/16 in. (153 × 355.2 cm)
Overall: 66 3/4 in. × 12 ft. 2 1/8 in. (169.5 × 371.2 cm)","[{'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 153, 'Width': 355.2}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 169.54533, 'Width': 371.15823}}]","Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",Paintings,2025-10-23T04:51:40.987Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/53439,"[{'term': 'Bridges', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300386855', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q12280'}, {'term': 'Fans', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300258857', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193220'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Rivers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300008707', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q4022'}]",,False,
8,39936.0,True,1981.278,1981,True,https://images.metmuseum.org/CRDImages/as/original/DP151504_CRD.jpg,Asian Art,Handscroll,Finches and bamboo,China,Northern Song dynasty (960–1127),"Chinese, 1082–1135; r. 1100–25","Huizong, Emperor",Chinese,,early 12th century,1100.0,1127.0,Handscroll; ink and color on silk,"Image: 13 1/4 × 21 13/16 in. (33.7 × 55.4 cm)
Overall with mounting: 13 3/4 in. × 27 ft. 6 5/16 in. (34.9 × 839 cm)","[{'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 33.7, 'Width': 55.403862}}, {'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Height': 34.9, 'Width': 838.9954}}]","John M. Crawford Jr. Collection, Purchase, Douglas Dillon Gift, 1981",Paintings,2025-10-29T04:51:52.627Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/39936,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Bamboo', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300311500', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q670887'}]",https://www.wikidata.org/wiki/Q29383312,True,
9,78670.0,False,2013.768,2013,True,https://images.metmuseum.org/CRDImages/as/original/DP319944_dup.jpg,Asian Art,Illustrated book,A New Record Comparing the Handwriting of the Courtesans of the Yoshiwara (Yoshiwara keisei shin bijin jihitsu kagami) 吉原傾城新美人自筆鏡,Japan,Edo period (1615–1868),"Japanese, 1761–1816",Kitao Masanobu (Santō Kyōden) 北尾政演 (山東京伝),Japanese,,"1784, early spring (Tenmei 4)",1784.0,1784.0,Woodblock printed book; ink and color on paper,14 15/16 × 10 1/4 in. (38 × 26 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 38, 'Width': 26}}]","Purchase, Mary and James G. Wallach Family Foundation Gift, in honor of John T. Carpenter, 2013",Illustrated Books,2025-10-15T04:51:40.863Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/78670,"[{'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}]",,False,
10,49006.0,False,1989.363.110,1989,True,https://images.metmuseum.org/CRDImages/as/original/DP153909.jpg,Asian Art,Album leaf,Letter,China,Ming dynasty (1368–1644),(1576–1632),Song Jue,Chinese,,early 17th century,1600.0,1632.0,Album leaf; ink on paper,11 1/2 x 18 in. (29.2 x 45.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 29.2, 'Width': 45.7}}]","Bequest of John M. Crawford Jr., 1988",Calligraphy,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/49006,,,False,
11,49147.0,False,1982.458a–e,1982,True,https://images.metmuseum.org/CRDImages/as/original/CT_35767.jpg,Asian Art,Album,Letters to Fang Shiguan,China,Qing dynasty (1644–1911),"Chinese, 1626–1705",Bada Shanren (Zhu Da),Chinese,,datable to ca. 1688–1705,1688.0,1705.0,Album of ten leaves; ink on patterned and plain paper,"Image (leaf a, right letter): 7 3/4 x 5 7/16 in. (19.7 x 13.8 cm)
Image (leaf a, left letter): 7 1/4 x 4 9/16 in. (18.4 x 11.6 cm)
Image (leaf b, right letter): 7 1/2 x 5 3/16 in. (19.1 x 13.2 cm)
Image (leaf b, left letter): 7 x 4 9/16 in. (17.8 x 11.6 cm)
Image (leaf c, right letter): 7 1/2 x 5 3/16 in. (19.1 x 13.2 cm)
Image (leaf c, left letter): 7 1/4 x 4 9/16 in. (18.4 x 11.6 cm)
Image (leaf d, right letter): 7 1/2 x 5 3/16 in. (19.1 x 13.2 cm)
Image (leaf d, left letter): 7 1/4 x 4 9/16 in. (18.4 x 11.6 cm)
Image (leaf e, right letter): 7 5/8 x 5 3/16 in. (19.4 x 13.2 cm)
Image (leaf e, left letter): 7 1/4 x 4 3/4 in. (18.4 x 12.1 cm)","[{'elementName': 'Image', 'elementDescription': 'leaf d, right letter', 'elementMeasurements': {'Height': 19.05, 'Width': 13.1763}}, {'elementName': 'Image', 'elementDescription': 'leaf c, right letter', 'elementMeasurements': {'Height': 19.05, 'Width': 13.1763}}, {'elementName': 'Image', 'elementDescription': 'leaf b, left letter', 'elementMeasurements': {'Height': 17.78, 'Width': 11.5888}}, {'elementName': 'Image', 'elementDescription': 'leaf b, right letter', 'elementMeasurements': {'Height': 19.05, 'Width': 13.1763}}, {'elementName': 'Image', 'elementDescription': 'leaf a, left letter', 'elementMeasurements': {'Height': 18.415, 'Width': 11.5888}}, {'elementName': 'Image', 'elementDescription': 'leaf e, left letter', 'elementMeasurements': {'Height': 18.415, 'Width': 12.065}}, {'elementName': 'Image', 'elementDescription': 'leaf e, right letter', 'elementMeasurements': {'Height': 19.3675, 'Width': 13.1763}}, {'elementName': 'Image', 'elementDescription': 'leaf d, left letter', 'elementMeasurements': {'Height': 18.415, 'Width': 11.5888}}, {'elementName': 'Image', 'elementDescription': 'leaf c, left letter', 'elementMeasurements': {'Height': 18.415, 'Width': 11.5888}}, {'elementName': 'Image', 'elementDescription': 'leaf a, right letter', 'elementMeasurements': {'Height': 19.685, 'Width': 13.8113}}]","Gift of John M. Crawford Jr., 1982",Calligraphy,2025-12-02T04:52:41.85Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/49147,,,False,
12,39901.0,True,1977.78,1977,True,https://images.metmuseum.org/CRDImages/as/original/DP153705.jpg,Asian Art,Handscroll,Night-Shining White,China,Tang dynasty (618–907),"Chinese, active ca. 742–756",Han Gan,Chinese,,ca. 750,740.0,760.0,Handscroll; ink on paper,"Image: 12 1/8 x 13 3/8 in. (30.8 x 34 cm)
Overall with mounting: 14 in. x 37 ft. 5 1/8 in. (35.4 cm x 11.4 m)","[{'elementName': 'Overall', 'elementDescription': 'green cloth wrapper', 'elementMeasurements': {'Height': 65.40513, 'Width': 64.13513}}, {'elementName': 'Storage', 'elementDescription': None, 'elementMeasurements': {'Depth': 9.525019, 'Height': 10.16002, 'Width': 38.417576}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 35.1, 'Width': 605.7912}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 30.8, 'Width': 34}}, {'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Height': 35.4013, 'Width': 1140.7798}}, {'elementName': 'Image', 'elementDescription': 'including inscription', 'elementMeasurements': {'Height': 30.9563, 'Width': 124.1427}}]","Purchase, The Dillon Fund Gift, 1977",Paintings,2025-11-11T04:51:55.68Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/39901,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q28092249,True,
13,50799.0,True,66.179,1966,True,https://images.metmuseum.org/CRDImages/as/original/DT5221.jpg,Asian Art,Figure,"Tara, the Buddhist Savior",Nepal,Malla period,,,,,14th century,1300.0,1399.0,Gilt copper alloy with color and semiprecious stone inlay,H. 23 1/4 in. (59.1 cm); H. incl. base 26 in. (66 cm);  W. 10 1/2 in. (26.7 cm); D. 5 in. (12/7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 12.700026, 'Height': 59.05512, 'Other': 66.04013, 'Weight': 10.432732, 'Width': 26.670053}}]","Louis V. Bell Fund, 1966",Sculpture,2025-11-13T04:51:50.813Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/50799,"[{'term': 'Lotuses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375570', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3645698'}, {'term': 'Buddhism', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300073738', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q748'}, {'term': 'Deities', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300343850', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q178885'}]",https://www.wikidata.org/wiki/Q83562570,True,252
14,38950.0,False,67.234,1967,True,https://images.metmuseum.org/CRDImages/as/original/LK_DP316445r3_25AA.jpg,Asian Art,Figure,Bodhisattva Avalokiteshvara,Thailand,,,,,,second quarter of the 8th century,750.0,775.0,Copper alloy inlaid with silver and glass or obsidian,H. 56 in. (142.2 cm); W. 22 1/2 in. (57.2 cm); D. 15 1/4 in. (38.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 38.735, 'Height': 142.2, 'Weight': 907.64764, 'Width': 57.15}}, {'elementName': 'Other', 'elementDescription': 'catalogue', 'elementMeasurements': {'Height': 142.24028, 'Width': 57.150116}}]","Rogers Fund, 1967",Sculpture,2025-10-24T04:51:05.727Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/38950,"[{'term': 'Buddhism', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300073738', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q748'}, {'term': 'Avalokiteshvara', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000085', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193849'}, {'term': 'Bodhisattvas', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300264360', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q178149'}]",https://www.wikidata.org/wiki/Q83562135,True,246
15,38965.0,True,69.222,1969,True,https://images.metmuseum.org/CRDImages/as/original/DP-15581-036.jpg,Asian Art,Figure,Buddha Offering Protection,India,Gupta period,,,,,late 6th–early 7th century,567.0,633.0,Copper alloy,H. 18 1/2 in. (47 cm); W. 6 1/8 in. (15.6 cm); D. 5 5/8 in. (14.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 14.287529, 'Height': 47, 'Width': 15.6}}, {'elementName': 'Overall', 'elementDescription': 'with tang', 'elementMeasurements': {'Height': 49.530098}}, {'elementName': 'Overall', 'elementDescription': 'with base ', 'elementMeasurements': {'Weight': 8.164746}}]","Purchase, Florance Waterbury Bequest, 1969",Sculpture,2025-10-20T04:51:47.577Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/38965,"[{'term': 'Post-Gupta', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300018906', 'Wikidata_URL': None}, {'term': 'Buddhism', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300073738', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q748'}, {'term': 'Buddha', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300262950', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q7055'}]",https://www.wikidata.org/wiki/Q83562142,True,236
16,39668.0,True,1981.276,1981,True,https://images.metmuseum.org/CRDImages/as/original/DP167812_CRD.jpg,Asian Art,Handscroll,"Old Trees, Level Distance",China,Northern Song dynasty (960–1127),"Chinese, ca. 1000–ca. 1090",Guo Xi,Chinese,,ca. 1080,1070.0,1090.0,Handscroll; ink and color on silk,"Image: 14 × 41 1/8 in. (35.6 × 104.4 cm)
Overall with mounting: 14 3/4 in. × 28 ft. 1/8 in. (37.5 × 853.8 cm)","[{'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 35.6, 'Width': 104.4224}}, {'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Height': 37.5, 'Width': 853.7592}}]","Gift of John M. Crawford Jr., in honor of Douglas Dillon, 1981",Paintings,2025-11-08T04:50:58.143Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/39668,"[{'term': 'Landscapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132294', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q191163'}, {'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}]",https://www.wikidata.org/wiki/Q29383298,True,
17,53719.0,False,JP2832,1939,True,https://images.metmuseum.org/CRDImages/as/original/DP124459.jpg,Asian Art,Print,Memorial Portrait of Ichiryusai Hiroshige (1797–1858),Japan,Edo period (1615–1868),"Japanese, 1786–1864",Utagawa Kunisada,Japanese,,1786–1864,1786.0,1864.0,Woodblock print; ink and color on paper,14 1/4 x 9 5/8 in. (36.2 x 24.4 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 36.2, 'Width': 24.4}}]","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",Prints,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/53719,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Portraits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300015637', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q134307'}]",,False,
18,737772.0,False,2024.549.40,2024,True,https://images.metmuseum.org/CRDImages/as/original/LC-L_2016_67_42_001.jpg,Asian Art,Fan,Landscape,China,Qing dynasty (1644–1911),"Chinese, 1754–1832",Wang Xuehao,Chinese,,1824,1824.0,1824.0,Folding fan mounted as an album leaf; ink on paper,Image: 12 × 23 5/8 in. (30.5 × 60 cm),"[{'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 30.5, 'Width': 60}}]","Gift of Jane DeBevoise and the Calello Family, 2024",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/737772,,,False,
19,40057.0,False,"1989.363.10a, b",1989,True,https://images.metmuseum.org/CRDImages/as/original/DP-15820-005_crd.jpg,Asian Art,Handscroll,Fisherman's Lodge At Mount Xisai,China,Southern Song dynasty (1127–1279),"Chinese, 1124– before 1197",LI JIE,Chinese,,ca. 1170,1160.0,1180.0,Handscroll; ink and color on silk,"Image (a): 16 × 53 3/4 in. (40.6 × 136.5 cm)
Overall with mounting (a): 16 3/8 in. × 26 ft. 1/8 in. (41.6 × 792.8 cm)
Overall with mounting (b): 16 3/8 in. × 27 ft. 9 5/16 in. (41.6 × 846.6 cm)","[{'elementName': 'Overall with mounting', 'elementDescription': 'b', 'elementMeasurements': {'Height': 41.6, 'Width': 846.6154}}, {'elementName': 'Overall with mounting', 'elementDescription': 'a', 'elementMeasurements': {'Height': 41.6, 'Width': 792.7991}}, {'elementName': 'Image', 'elementDescription': 'a', 'elementMeasurements': {'Height': 40.6, 'Width': 136.5253}}]","Bequest of John M. Crawford Jr., 1988",Paintings,2025-11-21T10:05:27.96Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/40057,"[{'term': 'Mountains', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300008795', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8502'}, {'term': 'Landscapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132294', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q191163'}]",https://www.wikidata.org/wiki/Q78865218,False,
20,44784.0,False,"25.20.2a, b",1925,True,https://images.metmuseum.org/CRDImages/as/original/DP155221.jpg,Asian Art,Food vessel,Food serving vessel (dou),China,"Eastern Zhou dynasty, (770–256 BCE)",,,,,late 6th–early 5th century BC,-535.0,-476.0,Bronze,H. 10 1/2 in. (26.7 cm); Diam. of foot 4 7/8 in. (12.4 cm); Diam. of rim 7 1/4 in. (18.4 cm),"[{'elementName': 'Other', 'elementDescription': 'Body', 'elementMeasurements': {'Weight': 1.6443}}, {'elementName': 'Other', 'elementDescription': 'Lid', 'elementMeasurements': {'Weight': 0.6237}}, {'elementName': 'Diam. of rim', 'elementDescription': None, 'elementMeasurements': {'Diameter': 18.415}}, {'elementName': 'Diam. of foot', 'elementDescription': None, 'elementMeasurements': {'Diameter': 12.3825}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 26.6701}}]","Rogers Fund, 1925",Metalwork,2025-12-02T04:52:41.85Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/44784,,https://www.wikidata.org/wiki/Q116314089,False,207
