Column,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,department,objectName,title,culture,period,artistDisplayBio,artistAlphaSort,artistNationality,artistGender,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,classification,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
3335,72381.0,True,2003.593.1,2003,True,https://images.metmuseum.org/CRDImages/as/original/DP123364.jpg,Asian Art,Figure,Seated Buddha,Pakistan,,,,,,1st to mid-2nd century,1.0,150.0,Bronze with traces of gold leaf,H. 6 5/8 in. (16.8 cm); W. 4 1/2 in. (11.4 cm); D. 4 in. (10.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 10.16, 'Height': 16.8275, 'Weight': 1.1339926, 'Width': 11.43}}]","Gift of Muneichi Nitta, 2003",Sculpture,2025-11-13T04:51:50.813Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/72381,"[{'term': 'Gandhara', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300018889', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q213651'}, {'term': 'Buddhism', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300073738', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q748'}, {'term': 'Buddha', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300262950', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q7055'}]",https://www.wikidata.org/wiki/Q83562721,True,235
3336,38202.0,False,1993.477.4,1993,True,https://images.metmuseum.org/CRDImages/as/original/1993_477_4.jpg,Asian Art,Figure,Standing Male Deity (possibly Shiva),India,Gupta period,,,,,6th century,500.0,599.0,Stone,"H. 30 in. (76.2 cm); W. 13 in. (33 cm); D. 4 in. (10.2 cm)
On mount, approximate: H. 35 in. (88.9 cm); 14 in. (35.6 cm); D. 9 3/4 in. (24.8 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 10.2, 'Height': 76.2, 'Width': 33}}, {'elementName': 'Overall', 'elementDescription': 'On mount', 'elementMeasurements': {'Depth': 24.765049, 'Height': 88.90018, 'Width': 35.56007}}]","Gift of Florence and Herbert Irving, 1993",Sculpture,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/38202,"[{'term': 'Post-Gupta', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300018906', 'Wikidata_URL': None}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",,False,
3337,38341.0,True,1986.498,1986,True,https://images.metmuseum.org/CRDImages/as/original/DT5236.jpg,Asian Art,Figure,Durga as Slayer of the Buffalo Demon Mahishasura,Nepal,,,,,,14th–15th century,1300.0,1499.0,"Gilt copper alloy, inlaid with semiprecious stones",H. 8 3/4 in. (22.2 cm); W. 8 in. (20.3 cm); D. 3 1/4 in. (8.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 8.255016, 'Height': 22.225044, 'Weight': 2.7215822, 'Width': 20.32004}}]","Gift of Alice and Nasli M. Heeramaneck, 1986",Sculpture,2025-10-20T04:51:47.577Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/38341,"[{'term': 'Goddess', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300343852', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q205985'}, {'term': 'Durga', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001417', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q382973'}]",https://www.wikidata.org/wiki/Q29383269,True,252
3338,38335.0,True,1982.220.2,1982,True,https://images.metmuseum.org/CRDImages/as/original/DT5228.jpg,Asian Art,Figure,The Bodhisattva Padmapani Lokeshvara,Nepal,Thakuri periods,,,,,11th–12th century,1000.0,1199.0,Copper alloy with gilding and semiprecious stones,H. 23 in. (58.4 cm); W. 10 1/2 in. (25.7 cm); D. 4 3/4 in. (12.1 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 12.065, 'Height': 58.4201, 'Width': 26.6701}}]","Purchase, Bequests of Mary Clarke Thompson, Fanny Shapiro, Susan Dwight Bliss, Isaac D. Fletcher, William Gedney Beatty, John L. Cadwalader and Kate Read Blacque, Gifts of Mrs. Samuel T. Peters, Ida H. Ogilvie, Samuel T. Peters and H. R. Bishop, F. C. Bishop and O. M. Bishop, Rogers, Seymour and Fletcher Funds, and other gifts, funds and bequests from various donors, by exchange, 1982",Sculpture,2025-11-08T04:50:58.143Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/38335,"[{'term': 'Buddhism', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300073738', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q748'}, {'term': 'Bodhisattvas', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300264360', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q178149'}]",https://www.wikidata.org/wiki/Q83562104,True,252
3342,42381.0,False,1990.291.4,1990,True,https://images.metmuseum.org/CRDImages/as/original/251952.jpg,Asian Art,Figure,Male attendant holding a bird,China,Tang dynasty (618–907),,,,,ca. late 7th–first half of the 8th century,667.0,749.0,Earthenware with three-color (sancai) glaze and pigments,H. 13 3/4 in. (34.9 cm),"[{'elementName': 'Overall', 'elementDescription': 'CSR Survey', 'elementMeasurements': {'Depth': 5.7150116, 'Height': 35.05207, 'Weight': 0.95255375, 'Width': 14.224029}}]","Gift of Adele and Stanley Herzman, 1990",Tomb Pottery,2025-09-30T04:51:13.59Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/42381,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Hats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300046106', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q80151'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",,False,
3345,37397.0,True,2015.500.4.12,2015,True,https://images.metmuseum.org/CRDImages/as/original/DP148767.jpg,Asian Art,Figure,Ganesha,India,Chola period,,,,,12th century,1100.0,1199.0,Copper alloy,H. 25 1/2 in (64.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 64.8}}]","Gift of Florence and Herbert Irving, 2015",Sculpture,2025-10-15T04:51:40.863Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/37397,"[{'term': 'Ganesha', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000387', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1579'}]",https://www.wikidata.org/wiki/Q116377822,False,251
3346,38509.0,False,"1987.218.12a, b",1987,True,https://images.metmuseum.org/CRDImages/as/original/DT5718.jpg,Asian Art,Standing Indra,Standing Indra,India,,,,,,ca. 2nd century,50.0,250.0,Sandstone,"a): Head: H. 3 3/4 in. (9.4 cm);   
b): Body (lower waist down): H. 11 3/8 in. (28.9 cm)","[{'elementName': 'Overall', 'elementDescription': 'head', 'elementMeasurements': {'Height': 9.3663}}, {'elementName': 'Overall', 'elementDescription': 'body', 'elementMeasurements': {'Height': 28.8926}}]","Samuel Eilenberg Collection, Ex Coll.: Columbia University, Purchase, Rogers Fund, 1987",Sculpture,2025-11-13T04:51:50.813Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/38509,"[{'term': 'Kushan', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300018886', 'Wikidata_URL': None}, {'term': 'Mathura', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300106864', 'Wikidata_URL': None}, {'term': 'Heads', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375054', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3409626'}]",,False,
3368,744431.0,False,2016.751.5,2016,True,https://images.metmuseum.org/CRDImages/as/original/DP-13248-001.jpg,Asian Art,Illustrated book,"“Bamboo” section, from the Mustard Seed Garden Manual of Painting",China,"Qing dynasty (1644–1911), Jiaqing period (1796–1820)","Chinese, 1645–1710",Wang Gai,Chinese,,1817 (Jiaqing 2nd edition),1817.0,1817.0,Woodblock-printed book; ink and color on paper,After conservation: 11 3/16 × 6 7/8 × 1/2 in. (28.4 × 17.5 × 1.3 cm),"[{'elementName': 'Overall', 'elementDescription': 'after conservation', 'elementMeasurements': {'Depth': 1.2700025, 'Height': 28.416307, 'Width': 17.462536}}, {'elementName': 'Overall', 'elementDescription': 'originial page', 'elementMeasurements': {'Height': 25.717552}}]","Gift of Anita V. Beenk, 2016",Illustrated Books,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/744431,,,False,
3382,39111.0,True,1983.512,1983,True,https://images.metmuseum.org/CRDImages/as/original/DT5243.jpg,Asian Art,Figure,Seated Ganesha,Thailand,Sukhothai or Lan Na style,,,,,ca. 15th century,1350.0,1550.0,Bronze,H. 12 3/8 in. (31.4 cm); W. 7 1/4 in. (18.4 cm); D. 5 in. (12.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 12.7, 'Height': 31.4326, 'Width': 18.415}}]","Gift of Steven Kossak, The Kronos Collections, in honor of Helen Cook, 1983",Sculpture,2025-10-15T04:51:40.863Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/39111,"[{'term': 'Elephants', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250160', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q7378'}, {'term': 'Ganesha', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000387', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1579'}, {'term': 'Hinduism', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300073727', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9089'}]",https://www.wikidata.org/wiki/Q83562158,True,251
3383,38490.0,False,2000.284.17,2000,True,https://images.metmuseum.org/CRDImages/as/original/267422.jpg,Asian Art,Box lid,Box Lid with a Phoenix,Pakistan,,,,,,ca. 5th century,350.0,550.0,Schist,W. 4 3/16 in. (10.6 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Width': 10.6}}]","Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998",Sculpture,2025-10-15T04:51:40.863Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/38490,"[{'term': 'Gandhara', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300018889', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q213651'}, {'term': 'Mythical Creatures', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375725', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2239243'}]",https://www.wikidata.org/wiki/Q116376717,False,
